iter	Passed	Remaining
0	2	2122
1	4	2004
2	5	1926
3	7	1791
4	8	1714
5	10	1693
6	11	1670
7	13	1662
8	15	1657
9	17	1685
10	18	1675
11	20	1678
12	21	1662
13	23	1661
14	25	1673
15	26	1651
16	28	1653
17	30	1662
18	32	1670
19	34	1667
20	35	1655
21	37	1645
22	38	1622
23	39	1607
24	40	1598
25	42	1589
26	44	1590
27	45	1584
28	47	1583
29	48	1581
30	50	1569
31	51	1568
32	53	1561
33	54	1552
34	55	1543
35	57	1535
36	58	1528
37	60	1526
38	62	1532
39	63	1526
40	64	1516
41	66	1508
42	67	1502
43	68	1496
44	70	1489
45	71	1482
46	72	1474
47	74	1468
48	75	1462
49	76	1461
50	78	1454
51	79	1448
52	80	1441
53	81	1435
54	83	1429
55	84	1422
56	86	1424
57	87	1422
58	89	1421
59	90	1419
60	91	1414
61	93	1410
62	94	1403
63	95	1399
64	96	1395
65	98	1389
66	99	1385
67	100	1372
68	101	1368
69	102	1364
70	104	1363
71	105	1364
72	107	1359
73	108	1356
74	109	1352
75	111	1349
76	112	1348
77	113	1344
78	114	1340
79	116	1336
80	117	1332
81	119	1342
82	121	1342
83	122	1339
84	123	1330
85	125	1328
86	125	1320
87	127	1317
88	128	1313
89	129	1309
90	130	1305
91	131	1302
92	133	1300
93	135	1303
94	137	1308
95	138	1306
96	140	1304
97	141	1300
98	142	1297
99	143	1294
100	145	1291
101	145	1282
102	146	1279
103	148	1276
104	149	1277
105	151	1277
106	152	1274
107	154	1274
108	156	1275
109	157	1273
110	158	1270
111	159	1267
112	161	1265
113	162	1264
114	164	1262
115	165	1258
116	166	1256
117	167	1254
118	168	1249
119	170	1247
120	171	1244
121	172	1241
122	173	1234
123	174	1231
124	175	1229
125	176	1226
126	179	1230
127	179	1225
128	181	1223
129	182	1221
130	183	1218
131	185	1216
132	186	1215
133	187	1213
134	188	1210
135	190	1207
136	191	1205
137	192	1202
138	193	1200
139	195	1199
140	196	1197
141	197	1195
142	199	1193
143	200	1191
144	201	1189
145	202	1186
146	204	1184
147	205	1181
148	206	1180
149	207	1177
150	209	1176
151	214	1195
152	215	1192
153	216	1190
154	218	1188
155	219	1186
156	220	1184
157	222	1183
158	223	1181
159	224	1178
160	225	1177
161	227	1175
162	228	1173
163	229	1171
164	230	1168
165	232	1167
166	233	1165
167	234	1162
168	236	1160
169	237	1158
170	238	1157
171	240	1155
172	241	1154
173	242	1152
174	243	1150
175	245	1148
176	246	1146
177	247	1144
178	249	1143
179	250	1140
180	251	1136
181	252	1133
182	253	1132
183	254	1129
184	256	1127
185	257	1126
186	258	1124
187	260	1123
188	261	1120
189	262	1118
190	263	1116
191	265	1115
192	266	1116
193	268	1115
194	269	1114
195	271	1114
196	273	1112
197	274	1111
198	275	1110
199	277	1109
200	279	1109
201	280	1108
202	282	1107
203	283	1106
204	284	1104
205	287	1107
206	288	1106
207	290	1105
208	291	1104
209	293	1102
210	294	1102
211	296	1101
212	297	1100
213	299	1100
214	301	1099
215	302	1099
216	304	1100
217	306	1100
218	308	1099
219	309	1098
220	311	1096
221	312	1094
222	313	1093
223	315	1093
224	317	1092
225	318	1092
226	320	1091
227	322	1092
228	323	1090
229	325	1088
230	326	1087
231	327	1085
232	329	1083
233	330	1082
234	332	1080
235	333	1079
236	334	1077
237	336	1075
238	337	1073
239	338	1071
240	339	1069
241	340	1067
242	342	1065
243	343	1063
244	344	1061
245	345	1060
246	347	1058
247	348	1057
248	350	1055
249	351	1054
250	352	1052
251	353	1050
252	355	1048
253	356	1046
254	357	1045
255	358	1043
256	360	1041
257	361	1039
258	362	1038
259	364	1037
260	365	1035
261	367	1034
262	368	1033
263	370	1031
264	371	1029
265	372	1028
266	373	1026
267	375	1024
268	376	1023
269	377	1021
270	379	1019
271	380	1018
272	381	1016
273	383	1016
274	385	1015
275	386	1014
276	388	1015
277	390	1013
278	391	1012
279	392	1010
280	394	1008
281	395	1007
282	400	1015
283	402	1013
284	403	1012
285	404	1010
286	406	1008
287	407	1007
288	408	1005
289	410	1004
290	411	1003
291	413	1002
292	414	1000
293	416	999
294	417	997
295	418	995
296	419	994
297	421	992
298	422	990
299	423	988
300	424	986
301	426	985
302	427	983
303	429	982
304	430	980
305	431	978
306	432	977
307	434	975
308	435	973
309	436	971
310	437	969
311	439	968
312	440	967
313	442	966
314	444	965
315	445	964
316	447	963
317	448	962
318	450	961
319	452	960
320	453	960
321	455	959
322	458	960
323	459	959
324	462	960
325	464	960
326	466	960
327	468	960
328	471	961
329	473	961
330	475	960
331	477	960
332	479	961
333	481	961
334	484	961
335	485	960
336	487	959
337	490	959
338	491	959
339	493	958
340	495	957
341	497	957
342	499	957
343	501	956
344	503	955
345	505	954
346	506	953
347	508	952
348	510	951
349	511	950
350	513	949
351	515	948
352	517	947
353	518	946
354	521	946
355	522	945
356	524	944
357	525	943
358	527	942
359	529	941
360	530	939
361	532	938
362	534	937
363	536	937
364	538	936
365	540	936
366	542	936
367	544	935
368	547	935
369	549	935
370	551	934
371	552	933
372	554	932
373	556	931
374	558	930
375	560	929
376	562	928
377	564	928
378	565	927
379	567	925
380	569	924
381	571	923
382	573	923
383	575	922
384	577	922
385	579	921
386	580	920
387	582	919
388	584	917
389	586	916
390	587	915
391	589	914
392	591	914
393	593	913
394	595	911
395	596	909
396	598	909
397	600	908
398	603	908
399	605	908
400	607	907
401	609	907
402	611	906
403	613	905
404	615	903
405	617	902
406	618	901
407	621	901
408	623	901
409	625	900
410	627	899
411	629	897
412	630	896
413	632	894
414	634	894
415	636	893
416	638	893
417	640	892
418	642	890
419	644	889
420	646	889
421	648	888
422	650	887
423	652	885
424	654	884
425	656	883
426	657	882
427	659	881
428	662	881
429	664	881
430	667	881
431	669	879
432	670	878
433	672	877
434	674	876
435	676	875
436	678	874
437	680	873
438	683	873
439	685	872
440	687	870
441	688	869
442	689	867
443	691	865
444	692	863
445	693	861
446	694	859
447	696	857
448	697	856
449	699	854
450	700	852
451	701	850
452	703	848
453	704	846
454	705	845
455	706	843
456	708	841
457	709	839
458	710	837
459	712	836
460	713	834
461	715	832
462	716	831
463	718	829
464	719	827
465	721	826
466	722	824
467	723	822
468	725	820
469	726	819
470	728	817
471	729	816
472	731	814
473	732	813
474	734	811
475	736	810
476	738	809
477	739	807
478	741	805
479	742	804
480	744	802
481	745	801
482	747	799
483	748	798
484	750	796
485	752	796
486	754	795
487	756	794
488	759	793
489	761	792
490	762	790
491	764	789
492	766	788
493	767	786
494	769	784
495	770	783
496	772	781
497	774	780
498	775	779
499	777	777
500	778	775
501	781	774
502	783	773
503	785	773
504	787	772
505	789	770
506	791	769
507	792	767
508	794	766
509	795	764
510	797	762
511	798	761
512	799	759
513	801	757
514	802	755
515	804	754
516	805	752
517	806	750
518	808	748
519	809	747
520	810	745
521	811	743
522	813	741
523	814	739
524	815	738
525	817	736
526	818	734
527	820	733
528	821	731
529	822	729
530	824	727
531	825	726
532	826	724
533	828	722
534	829	720
535	830	719
536	832	717
537	833	715
538	834	714
539	836	712
540	837	710
541	838	708
542	839	706
543	841	705
544	842	703
545	843	701
546	844	699
547	846	697
548	847	696
549	848	694
550	850	692
551	851	690
552	852	689
553	853	687
554	855	685
555	856	683
556	858	682
557	859	680
558	860	679
559	862	677
560	863	675
561	864	674
562	866	672
563	867	670
564	868	668
565	869	667
566	871	665
567	872	663
568	873	661
569	875	660
570	876	658
571	877	656
572	879	655
573	880	653
574	881	651
575	883	650
576	884	648
577	885	646
578	887	644
579	888	643
580	889	641
581	891	640
582	892	638
583	894	636
584	895	635
585	897	633
586	898	632
587	899	630
588	900	628
589	902	626
590	903	625
591	904	623
592	906	622
593	907	620
594	908	618
595	910	616
596	911	615
597	912	613
598	914	611
599	915	610
600	916	608
601	918	607
602	919	605
603	920	603
604	922	602
605	923	600
606	924	598
607	925	596
608	927	595
609	928	593
610	929	592
611	931	590
612	932	588
613	934	587
614	935	585
615	936	583
616	937	582
617	939	580
618	940	578
619	941	577
620	943	575
621	944	574
622	945	572
623	947	570
624	948	569
625	949	567
626	951	566
627	953	564
628	954	563
629	956	561
630	957	560
631	958	558
632	960	556
633	961	555
634	962	553
635	964	551
636	965	550
637	967	548
638	968	547
639	969	545
640	970	543
641	972	542
642	973	540
643	975	539
644	976	537
645	978	535
646	979	534
647	981	532
648	982	531
649	984	529
650	985	528
651	987	527
652	988	525
653	990	523
654	991	522
655	993	520
656	994	519
657	996	517
658	997	516
659	999	514
660	1000	513
661	1002	512
662	1004	510
663	1006	509
664	1007	507
665	1009	506
666	1010	504
667	1011	502
668	1013	501
669	1014	499
670	1016	498
671	1018	497
672	1020	495
673	1022	494
674	1024	493
675	1025	491
676	1026	489
677	1028	488
678	1029	486
679	1030	485
680	1032	483
681	1033	481
682	1035	480
683	1036	478
684	1037	477
685	1039	475
686	1040	473
687	1041	472
688	1046	472
689	1047	470
690	1049	469
691	1050	467
692	1052	466
693	1053	464
694	1054	462
695	1056	461
696	1057	459
697	1058	458
698	1060	456
699	1061	454
700	1062	453
701	1064	451
702	1065	450
703	1067	448
704	1068	447
705	1069	445
706	1070	443
707	1071	442
708	1073	440
709	1074	438
710	1075	437
711	1076	435
712	1078	433
713	1079	432
714	1080	430
715	1081	429
716	1083	427
717	1084	426
718	1086	424
719	1087	422
720	1088	421
721	1089	419
722	1091	418
723	1092	416
724	1093	414
725	1095	413
726	1096	411
727	1097	410
728	1099	408
729	1100	407
730	1101	405
731	1102	403
732	1104	402
733	1105	400
734	1106	398
735	1107	397
736	1109	395
737	1110	394
738	1111	392
739	1113	391
740	1114	389
741	1115	387
742	1116	386
743	1118	384
744	1119	383
745	1120	381
746	1122	380
747	1123	378
748	1124	376
749	1126	375
750	1127	373
751	1129	372
752	1131	371
753	1132	369
754	1134	368
755	1135	366
756	1138	365
757	1140	364
758	1141	362
759	1143	360
760	1144	359
761	1145	357
762	1147	356
763	1148	354
764	1149	353
765	1150	351
766	1151	349
767	1153	348
768	1154	346
769	1156	345
770	1157	343
771	1158	342
772	1160	340
773	1161	339
774	1162	337
775	1164	336
776	1165	334
777	1166	332
778	1167	331
779	1169	329
780	1170	328
781	1171	326
782	1173	325
783	1174	323
784	1175	321
785	1176	320
786	1178	318
787	1179	317
788	1180	315
789	1181	314
790	1183	312
791	1184	311
792	1185	309
793	1187	308
794	1188	306
795	1190	305
796	1191	303
797	1192	301
798	1193	300
799	1195	298
800	1196	297
801	1197	295
802	1199	294
803	1200	292
804	1201	291
805	1202	289
806	1204	288
807	1205	286
808	1206	284
809	1208	283
810	1209	281
811	1210	280
812	1212	278
813	1213	277
814	1214	275
815	1215	274
816	1217	272
817	1218	271
818	1219	269
819	1221	268
820	1222	266
